Country,Date,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,WHO_Region
Colombia,1/23/2020,0,0,0,0,0,0,0,Americas
Comoros,1/23/2020,0,0,0,0,0,0,0,Africa
Congo (Brazzaville),1/23/2020,0,0,0,0,0,0,0,Africa
Congo (Kinshasa),1/23/2020,0,0,0,0,0,0,0,Africa
Costa Rica,1/23/2020,0,0,0,0,0,0,0,Americas
Cote d'Ivoire,1/23/2020,0,0,0,0,0,0,0,Africa
Croatia,1/23/2020,0,0,0,0,0,0,0,Europe
Cuba,1/23/2020,0,0,0,0,0,0,0,Americas
Cyprus,1/23/2020,0,0,0,0,0,0,0,Europe
Czechia,1/23/2020,0,0,0,0,0,0,0,Europe
Denmark,1/23/2020,0,0,0,0,0,0,0,Europe
Djibouti,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Dominica,1/23/2020,0,0,0,0,0,0,0,Americas
Dominican Republic,1/23/2020,0,0,0,0,0,0,0,Americas
Ecuador,1/23/2020,0,0,0,0,0,0,0,Americas
Egypt,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
El Salvador,1/23/2020,0,0,0,0,0,0,0,Americas
Equatorial Guinea,1/23/2020,0,0,0,0,0,0,0,Africa
Eritrea,1/23/2020,0,0,0,0,0,0,0,Africa
Estonia,1/23/2020,0,0,0,0,0,0,0,Europe
Eswatini,1/23/2020,0,0,0,0,0,0,0,Africa
Ethiopia,1/23/2020,0,0,0,0,0,0,0,Africa
Fiji,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Finland,1/23/2020,0,0,0,0,0,0,0,Europe
France,1/23/2020,0,0,0,0,0,0,0,Europe
Gabon,1/23/2020,0,0,0,0,0,0,0,Africa
Gambia,1/23/2020,0,0,0,0,0,0,0,Africa
Georgia,1/23/2020,0,0,0,0,0,0,0,Europe
Germany,1/23/2020,0,0,0,0,0,0,0,Europe
Ghana,1/23/2020,0,0,0,0,0,0,0,Africa
Greece,1/23/2020,0,0,0,0,0,0,0,Europe
Greenland,1/23/2020,0,0,0,0,0,0,0,Europe
Grenada,1/23/2020,0,0,0,0,0,0,0,Americas
Guatemala,1/23/2020,0,0,0,0,0,0,0,Americas
Guinea,1/23/2020,0,0,0,0,0,0,0,Africa
Guinea-Bissau,1/23/2020,0,0,0,0,0,0,0,Africa
Guyana,1/23/2020,0,0,0,0,0,0,0,Americas
Haiti,1/23/2020,0,0,0,0,0,0,0,Americas
Holy See,1/23/2020,0,0,0,0,0,0,0,Europe
Honduras,1/23/2020,0,0,0,0,0,0,0,Americas
Hungary,1/23/2020,0,0,0,0,0,0,0,Europe
Iceland,1/23/2020,0,0,0,0,0,0,0,Europe
India,1/23/2020,0,0,0,0,0,0,0,South-East Asia
Indonesia,1/23/2020,0,0,0,0,0,0,0,South-East Asia
Iran,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Iraq,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Ireland,1/23/2020,0,0,0,0,0,0,0,Europe
Israel,1/23/2020,0,0,0,0,0,0,0,Europe
Italy,1/23/2020,0,0,0,0,0,0,0,Europe
Jamaica,1/23/2020,0,0,0,0,0,0,0,Americas
Japan,1/23/2020,2,0,0,2,0,0,0,Western Pacific
Jordan,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Kazakhstan,1/23/2020,0,0,0,0,0,0,0,Europe
Kenya,1/23/2020,0,0,0,0,0,0,0,Africa
Kosovo,1/23/2020,0,0,0,0,0,0,0,Europe
Kuwait,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Kyrgyzstan,1/23/2020,0,0,0,0,0,0,0,Europe
Laos,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Latvia,1/23/2020,0,0,0,0,0,0,0,Europe
Lebanon,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Lesotho,1/23/2020,0,0,0,0,0,0,0,Africa
Liberia,1/23/2020,0,0,0,0,0,0,0,Africa
Libya,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Liechtenstein,1/23/2020,0,0,0,0,0,0,0,Europe
Lithuania,1/23/2020,0,0,0,0,0,0,0,Europe
Luxembourg,1/23/2020,0,0,0,0,0,0,0,Europe
Madagascar,1/23/2020,0,0,0,0,0,0,0,Africa
Malawi,1/23/2020,0,0,0,0,0,0,0,Africa
Malaysia,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Maldives,1/23/2020,0,0,0,0,0,0,0,South-East Asia
Mali,1/23/2020,0,0,0,0,0,0,0,Africa
Malta,1/23/2020,0,0,0,0,0,0,0,Europe
Mauritania,1/23/2020,0,0,0,0,0,0,0,Africa
Mauritius,1/23/2020,0,0,0,0,0,0,0,Africa
Mexico,1/23/2020,0,0,0,0,0,0,0,Americas
Moldova,1/23/2020,0,0,0,0,0,0,0,Europe
Monaco,1/23/2020,0,0,0,0,0,0,0,Europe
Mongolia,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Montenegro,1/23/2020,0,0,0,0,0,0,0,Europe
Morocco,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Mozambique,1/23/2020,0,0,0,0,0,0,0,Africa
Namibia,1/23/2020,0,0,0,0,0,0,0,Africa
Nepal,1/23/2020,0,0,0,0,0,0,0,South-East Asia
